id,date,user,pc,to,cc,bcc,from,size,attachments,content
E400017,08/03/2026 20:29:00,EMP114,PC-1250,team_leads@dta.com,,,mia.wong@dta.com,19100,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400018,08/03/2026 19:14:00,EMP115,PC-6125,team_leads@dta.com,,,noah.centineo@dta.com,72637,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400019,08/03/2026 20:08:00,EMP116,PC-1300,team_leads@dta.com,,,olivia.wilde@dta.com,75092,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400020,08/03/2026 19:38:00,EMP117,PC-9910,team_leads@dta.com,,,peter.parker@dta.com,67444,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400021,08/03/2026 19:21:00,EMP118,PC-5022,team_leads@dta.com,,,quinn.fabray@dta.com,74493,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400022,08/03/2026 18:33:00,EMP119,PC-3150,team_leads@dta.com,,,robert.langdon@dta.com,44271,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400023,08/03/2026 19:40:00,EMP120,PC-4120,team_leads@dta.com,,,sophia.turner@dta.com,46814,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400024,08/03/2026 21:25:00,EMP121,PC-8050,team_leads@dta.com,,,thomas.shelby@dta.com,39938,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400025,08/03/2026 21:44:00,EMP122,PC-6150,team_leads@dta.com,,,uma.thurman@dta.com,81329,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400026,08/03/2026 19:51:00,EMP123,PC-4190,team_leads@dta.com,,,victor.vance@dta.com,48930,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400027,08/03/2026 22:36:00,EMP124,PC-9001,team_leads@dta.com,,,wendy.darling@dta.com,18658,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400028,08/03/2026 21:01:00,EMP125,PC-9402,team_leads@dta.com,,,xavier.woods@dta.com,68057,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400029,08/03/2026 19:25:00,EMP126,PC-9945,team_leads@dta.com,,,yara.greyjoy@dta.com,59795,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400030,08/03/2026 22:03:00,EMP127,PC-1070,team_leads@dta.com,,,zachary.levi@dta.com,33299,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400031,08/04/2026 19:06:00,EMP101,PC-1001,team_leads@dta.com,,,norman.empson@dta.com,26168,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400032,08/04/2026 21:50:00,AAF0535,PC-2408,team_leads@dta.com,,,althea.fleming@dta.com,37313,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400033,08/04/2026 20:45:00,AAM0658,PC-9923,team_leads@dta.com,,,anthony.miller@dta.com,15617,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400034,08/04/2026 20:26:00,BBS0039,PC-9436,team_leads@dta.com,,,brandon.starks@dta.com,27157,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400035,08/04/2026 21:26:00,EMP102,PC-3012,team_leads@dta.com,,,alice.smith@dta.com,21171,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400036,08/04/2026 22:00:00,EMP103,PC-4105,team_leads@dta.com,,,bob.jones@dta.com,28683,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400037,08/04/2026 21:59:00,EMP104,PC-1102,team_leads@dta.com,,,carol.davis@dta.com,12053,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400038,08/04/2026 21:28:00,EMP105,PC-5001,team_leads@dta.com,,,david.wilson@dta.com,74021,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400039,08/04/2026 19:39:00,EMP106,PC-1088,team_leads@dta.com,,,elena.rostova@dta.com,38100,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400040,08/04/2026 18:50:00,EMP107,PC-6110,team_leads@dta.com,,,frank.miller@dta.com,62328,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400041,08/04/2026 20:10:00,EMP108,PC-1044,team_leads@dta.com,,,grace.hopper@dta.com,79889,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400042,08/04/2026 21:35:00,EMP109,PC-7020,team_leads@dta.com,,,henry.ford@dta.com,53588,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400043,08/04/2026 23:14:00,EMP110,PC-8005,team_leads@dta.com,,,isabella.cruz@dta.com,48347,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400044,08/04/2026 23:28:00,EMP111,PC-3099,team_leads@dta.com,,,jack.ryan@dta.com,82798,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400045,08/04/2026 19:54:00,EMP112,PC-2490,team_leads@dta.com,,,karen.page@dta.com,65424,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400046,08/04/2026 21:11:00,EMP113,PC-7045,team_leads@dta.com,,,liam.neeson@dta.com,74518,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400047,08/04/2026 19:18:00,EMP114,PC-1250,team_leads@dta.com,,,mia.wong@dta.com,47774,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400048,08/04/2026 22:10:00,EMP115,PC-6125,team_leads@dta.com,,,noah.centineo@dta.com,82008,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400049,08/04/2026 20:02:00,EMP116,PC-1300,team_leads@dta.com,,,olivia.wilde@dta.com,54906,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400050,08/04/2026 21:40:00,EMP117,PC-9910,team_leads@dta.com,,,peter.parker@dta.com,82702,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400051,08/04/2026 18:54:00,EMP118,PC-5022,team_leads@dta.com,,,quinn.fabray@dta.com,74070,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400052,08/04/2026 21:11:00,EMP119,PC-3150,team_leads@dta.com,,,robert.langdon@dta.com,27012,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400053,08/04/2026 21:15:00,EMP120,PC-4120,team_leads@dta.com,,,sophia.turner@dta.com,43830,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400054,08/04/2026 21:33:00,EMP121,PC-8050,team_leads@dta.com,,,thomas.shelby@dta.com,60571,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400055,08/04/2026 21:33:00,EMP122,PC-6150,team_leads@dta.com,,,uma.thurman@dta.com,32052,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400056,08/04/2026 20:33:00,EMP123,PC-4190,team_leads@dta.com,,,victor.vance@dta.com,44177,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400057,08/04/2026 20:23:00,EMP124,PC-9001,team_leads@dta.com,,,wendy.darling@dta.com,54600,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400058,08/04/2026 20:43:00,EMP125,PC-9402,team_leads@dta.com,,,xavier.woods@dta.com,37042,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400059,08/04/2026 20:09:00,EMP126,PC-9945,team_leads@dta.com,,,yara.greyjoy@dta.com,14260,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400060,08/04/2026 20:33:00,EMP127,PC-1070,team_leads@dta.com,,,zachary.levi@dta.com,57056,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400061,08/05/2026 20:55:00,EMP101,PC-1001,team_leads@dta.com,,,norman.empson@dta.com,27670,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400062,08/05/2026 19:27:00,AAF0535,PC-2408,team_leads@dta.com,,,althea.fleming@dta.com,41816,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400063,08/05/2026 21:32:00,AAM0658,PC-9923,team_leads@dta.com,,,anthony.miller@dta.com,50290,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400064,08/05/2026 19:27:00,BBS0039,PC-9436,team_leads@dta.com,,,brandon.starks@dta.com,18734,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400065,08/05/2026 20:08:00,EMP102,PC-3012,team_leads@dta.com,,,alice.smith@dta.com,31555,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400066,08/05/2026 22:23:00,EMP103,PC-4105,team_leads@dta.com,,,bob.jones@dta.com,80494,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400067,08/05/2026 22:37:00,EMP104,PC-1102,team_leads@dta.com,,,carol.davis@dta.com,25006,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400068,08/05/2026 18:40:00,EMP105,PC-5001,team_leads@dta.com,,,david.wilson@dta.com,65545,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400069,08/05/2026 22:39:00,EMP106,PC-1088,team_leads@dta.com,,,elena.rostova@dta.com,42595,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400070,08/05/2026 19:55:00,EMP107,PC-6110,team_leads@dta.com,,,frank.miller@dta.com,33747,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400071,08/05/2026 21:56:00,EMP108,PC-1044,team_leads@dta.com,,,grace.hopper@dta.com,76722,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400072,08/05/2026 19:28:00,EMP109,PC-7020,team_leads@dta.com,,,henry.ford@dta.com,42005,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400073,08/05/2026 22:37:00,EMP110,PC-8005,team_leads@dta.com,,,isabella.cruz@dta.com,48458,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400074,08/05/2026 20:01:00,EMP111,PC-3099,team_leads@dta.com,,,jack.ryan@dta.com,65955,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400075,08/05/2026 19:47:00,EMP112,PC-2490,team_leads@dta.com,,,karen.page@dta.com,64976,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400076,08/05/2026 21:56:00,EMP113,PC-7045,team_leads@dta.com,,,liam.neeson@dta.com,18764,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400077,08/05/2026 20:58:00,EMP114,PC-1250,team_leads@dta.com,,,mia.wong@dta.com,43365,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400078,08/05/2026 18:49:00,EMP115,PC-6125,team_leads@dta.com,,,noah.centineo@dta.com,32181,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400079,08/05/2026 20:33:00,EMP116,PC-1300,team_leads@dta.com,,,olivia.wilde@dta.com,78616,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400080,08/05/2026 20:32:00,EMP117,PC-9910,team_leads@dta.com,,,peter.parker@dta.com,76178,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400081,08/05/2026 21:26:00,EMP118,PC-5022,team_leads@dta.com,,,quinn.fabray@dta.com,43300,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400082,08/05/2026 21:20:00,EMP119,PC-3150,team_leads@dta.com,,,robert.langdon@dta.com,16852,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400083,08/05/2026 22:14:00,EMP120,PC-4120,team_leads@dta.com,,,sophia.turner@dta.com,32232,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400084,08/05/2026 20:07:00,EMP121,PC-8050,team_leads@dta.com,,,thomas.shelby@dta.com,53505,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400085,08/05/2026 22:48:00,EMP122,PC-6150,team_leads@dta.com,,,uma.thurman@dta.com,25173,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400086,08/05/2026 19:47:00,EMP123,PC-4190,team_leads@dta.com,,,victor.vance@dta.com,44007,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400087,08/05/2026 22:30:00,EMP124,PC-9001,team_leads@dta.com,,,wendy.darling@dta.com,43566,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400088,08/05/2026 23:27:00,EMP125,PC-9402,team_leads@dta.com,,,xavier.woods@dta.com,72981,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400089,08/05/2026 22:39:00,EMP126,PC-9945,team_leads@dta.com,,,yara.greyjoy@dta.com,44780,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400090,08/05/2026 22:18:00,EMP127,PC-1070,team_leads@dta.com,,,zachary.levi@dta.com,50696,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400091,08/06/2026 22:00:00,EMP101,PC-1001,team_leads@dta.com,,,norman.empson@dta.com,42162,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400092,08/06/2026 21:54:00,AAF0535,PC-2408,team_leads@dta.com,,,althea.fleming@dta.com,24735,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400093,08/06/2026 21:30:00,AAM0658,PC-9923,team_leads@dta.com,,,anthony.miller@dta.com,66460,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400094,08/06/2026 20:11:00,BBS0039,PC-9436,team_leads@dta.com,,,brandon.starks@dta.com,21869,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400095,08/06/2026 18:45:00,EMP102,PC-3012,team_leads@dta.com,,,alice.smith@dta.com,71609,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400096,08/06/2026 22:21:00,EMP103,PC-4105,team_leads@dta.com,,,bob.jones@dta.com,54992,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400097,08/06/2026 20:47:00,EMP104,PC-1102,team_leads@dta.com,,,carol.davis@dta.com,27220,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400098,08/06/2026 21:25:00,EMP105,PC-5001,team_leads@dta.com,,,david.wilson@dta.com,32253,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400099,08/06/2026 21:34:00,EMP106,PC-1088,team_leads@dta.com,,,elena.rostova@dta.com,42947,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400100,08/06/2026 22:43:00,EMP107,PC-6110,team_leads@dta.com,,,frank.miller@dta.com,71600,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400101,08/06/2026 22:14:00,EMP108,PC-1044,team_leads@dta.com,,,grace.hopper@dta.com,84641,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400102,08/06/2026 19:10:00,EMP109,PC-7020,team_leads@dta.com,,,henry.ford@dta.com,82807,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400103,08/06/2026 19:24:00,EMP110,PC-8005,team_leads@dta.com,,,isabella.cruz@dta.com,28614,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400104,08/06/2026 22:10:00,EMP111,PC-3099,team_leads@dta.com,,,jack.ryan@dta.com,17683,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400105,08/06/2026 22:31:00,EMP112,PC-2490,team_leads@dta.com,,,karen.page@dta.com,70138,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400106,08/06/2026 20:37:00,EMP113,PC-7045,team_leads@dta.com,,,liam.neeson@dta.com,81541,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400107,08/06/2026 21:24:00,EMP114,PC-1250,team_leads@dta.com,,,mia.wong@dta.com,41949,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400108,08/06/2026 20:56:00,EMP115,PC-6125,team_leads@dta.com,,,noah.centineo@dta.com,32006,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400109,08/06/2026 21:26:00,EMP116,PC-1300,team_leads@dta.com,,,olivia.wilde@dta.com,19861,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400110,08/06/2026 21:01:00,EMP117,PC-9910,team_leads@dta.com,,,peter.parker@dta.com,58090,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400111,08/06/2026 22:12:00,EMP118,PC-5022,team_leads@dta.com,,,quinn.fabray@dta.com,84910,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400112,08/06/2026 19:13:00,EMP119,PC-3150,team_leads@dta.com,,,robert.langdon@dta.com,47054,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400113,08/06/2026 18:28:00,EMP120,PC-4120,team_leads@dta.com,,,sophia.turner@dta.com,30595,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400114,08/06/2026 20:37:00,EMP121,PC-8050,team_leads@dta.com,,,thomas.shelby@dta.com,23135,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400115,08/06/2026 19:55:00,EMP122,PC-6150,team_leads@dta.com,,,uma.thurman@dta.com,47804,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400116,08/06/2026 21:22:00,EMP123,PC-4190,team_leads@dta.com,,,victor.vance@dta.com,52425,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400117,08/06/2026 18:15:00,EMP124,PC-9001,team_leads@dta.com,,,wendy.darling@dta.com,77193,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400118,08/06/2026 20:52:00,EMP125,PC-9402,team_leads@dta.com,,,xavier.woods@dta.com,17544,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400119,08/06/2026 20:15:00,EMP126,PC-9945,team_leads@dta.com,,,yara.greyjoy@dta.com,27096,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400120,08/06/2026 22:37:00,EMP127,PC-1070,team_leads@dta.com,,,zachary.levi@dta.com,25875,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400121,08/07/2026 21:46:00,EMP101,PC-1001,team_leads@dta.com,,,norman.empson@dta.com,34037,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400122,08/07/2026 19:32:00,AAF0535,PC-2408,team_leads@dta.com,,,althea.fleming@dta.com,25474,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400123,08/07/2026 21:33:00,AAM0658,PC-9923,team_leads@dta.com,,,anthony.miller@dta.com,76764,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400124,08/07/2026 21:28:00,BBS0039,PC-9436,team_leads@dta.com,,,brandon.starks@dta.com,20950,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400125,08/07/2026 21:23:00,EMP102,PC-3012,team_leads@dta.com,,,alice.smith@dta.com,16929,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400126,08/07/2026 20:51:00,EMP103,PC-4105,team_leads@dta.com,,,bob.jones@dta.com,84655,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400127,08/07/2026 21:55:00,EMP104,PC-1102,team_leads@dta.com,,,carol.davis@dta.com,57015,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400128,08/07/2026 20:45:00,EMP105,PC-5001,team_leads@dta.com,,,david.wilson@dta.com,32807,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400129,08/07/2026 19:39:00,EMP106,PC-1088,team_leads@dta.com,,,elena.rostova@dta.com,55213,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400130,08/07/2026 21:04:00,EMP107,PC-6110,team_leads@dta.com,,,frank.miller@dta.com,30537,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400131,08/07/2026 22:47:00,EMP108,PC-1044,team_leads@dta.com,,,grace.hopper@dta.com,28750,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400132,08/07/2026 21:57:00,EMP109,PC-7020,team_leads@dta.com,,,henry.ford@dta.com,75736,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400133,08/07/2026 18:23:00,EMP110,PC-8005,team_leads@dta.com,,,isabella.cruz@dta.com,56140,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400134,08/07/2026 18:49:00,EMP111,PC-3099,team_leads@dta.com,,,jack.ryan@dta.com,65852,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400135,08/07/2026 21:59:00,EMP112,PC-2490,team_leads@dta.com,,,karen.page@dta.com,43348,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400136,08/07/2026 22:49:00,EMP113,PC-7045,team_leads@dta.com,,,liam.neeson@dta.com,62052,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400137,08/07/2026 22:53:00,EMP114,PC-1250,team_leads@dta.com,,,mia.wong@dta.com,60655,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400138,08/07/2026 22:38:00,EMP115,PC-6125,team_leads@dta.com,,,noah.centineo@dta.com,41102,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400139,08/07/2026 21:00:00,EMP116,PC-1300,team_leads@dta.com,,,olivia.wilde@dta.com,22696,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400140,08/07/2026 23:08:00,EMP117,PC-9910,team_leads@dta.com,,,peter.parker@dta.com,73925,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400141,08/07/2026 22:45:00,EMP118,PC-5022,team_leads@dta.com,,,quinn.fabray@dta.com,81176,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400142,08/07/2026 21:04:00,EMP119,PC-3150,team_leads@dta.com,,,robert.langdon@dta.com,20232,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400143,08/07/2026 21:08:00,EMP120,PC-4120,team_leads@dta.com,,,sophia.turner@dta.com,58244,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400144,08/07/2026 20:50:00,EMP121,PC-8050,team_leads@dta.com,,,thomas.shelby@dta.com,83313,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400145,08/07/2026 21:45:00,EMP122,PC-6150,team_leads@dta.com,,,uma.thurman@dta.com,20855,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400146,08/07/2026 20:41:00,EMP123,PC-4190,team_leads@dta.com,,,victor.vance@dta.com,34949,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400147,08/07/2026 23:30:00,EMP124,PC-9001,team_leads@dta.com,,,wendy.darling@dta.com,17492,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400148,08/07/2026 20:50:00,EMP125,PC-9402,team_leads@dta.com,,,xavier.woods@dta.com,18265,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400149,08/07/2026 22:14:00,EMP126,PC-9945,team_leads@dta.com,,,yara.greyjoy@dta.com,77211,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400150,08/07/2026 21:52:00,EMP127,PC-1070,team_leads@dta.com,,,zachary.levi@dta.com,50504,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
E400151,08/10/2026 19:55:00,EMP101,PC-1001,team_leads@dta.com,,,norman.empson@dta.com,84616,weekly_sync.docx,"Hi team, sharing the updated sprint deliverable review notes for this week."
